frequency,Tmag,Tphase
31622776.6,-46.4829939,-166.680873
35481338.9,-47.4567569,-171.814956
39810717.1,-48.5573245,-178.555734
44668359.2,-49.806351,-186.361197
50118723.4,-51.1945487,-194.820722
56234132.5,-52.6987388,-203.643013
63095734.4,-54.2901243,-212.623959
70794578.4,-55.9380311,-221.618969
79432823.5,-57.6116805,-230.523534
89125093.8,-59.28124,-239.260478
100000000,-60.9186762,-247.771704
112201845,-62.4985749,-256.012792
125892541,-63.9989198,-263.949328
141253754,-65.401756,-271.554346
158489319,-66.6936501,-278.806513
177827941,-67.8658908,-285.688929
199526231,-68.9144063,-292.188476
223872114,-69.8394126,-298.295645
251188643,-70.6448364,-304.004716
281838293,-71.3375763,-309.314117
316227766,-71.9266801,-314.226725
354813389,-72.4225207,-318.749957
398107171,-72.8360444,-322.895563
446683592,-73.1781451,-326.679107
501187234,-73.4591929,-330.119235
562341325,-73.688719,-333.236824
630957344,-73.8752409,-336.054126
707945784,-74.0261991,-338.593988
794328235,-74.147974,-340.879192
891250938,-74.2459563,-342.931937
1000000000,-74.3246458,-344.773467
1122018450,-74.3877626,-346.423817
1258925410,-74.4383583,-347.901667
1412537540,-74.478921,-349.224274
1584893190,-74.5114702,-350.407467
1778279410,-74.5376396,-351.465678
1995262310,-74.5587483,-352.412003
2238721140,-74.5758605,-353.258272
2511886430,-74.5898349,-354.015135
2818382930,-74.6013652,-354.692132
3162277660,-74.6110116,-355.297783
3548133890,-74.6192258,-355.839655
3981071710,-74.6263686,-356.324439
4466835920,-74.6327239,-356.758035
5011872340,-74.6385074,-357.145627
5623413250,-74.6438735,-357.49178
6309573440,-74.648921,-357.80054
7079457840,-74.6536999,-358.075535
7943282350,-74.6582191,-358.320077
8912509380,-74.6624567,-358.537249
10000000000,-74.6663715,-358.729969
11220184500,-74.6699146,-358.901021
12589254100,-74.6730382,-359.053062
14125375400,-74.6757018,-359.188611
15848931900,-74.6778743,-359.31003
17782794100,-74.6795321,-359.419501
19952623100,-74.6806554,-359.51902
22387211400,-74.6812221,-359.610403
25118864300,-74.6812011,-359.695304
28183829300,-74.6805455,-359.775238
31622776600,-74.6791852,-359.851626
35481338900,-74.6770198,-359.925833
39810717100,-74.6739105,-359.999234
44668359200,-74.6696716,-360.073274
50118723400,-74.6640616,-360.149556
56234132500,-74.6567728,-360.229947
63095734400,-74.6474215,-360.316712
70794578400,-74.6355377,-360.412678
79432823500,-74.6205559,-360.521455
89125093800,-74.601809,-360.647705
100000000000,-74.5785264,-360.797482
112201845000,-74.5498422,-360.978666
125892541000,-74.5148194,-361.201481
141253754000,-74.4724977,-361.479108
158489319000,-74.4219777,-361.82836
177827941000,-74.3625532,-362.270351
199526231000,-74.2939034,-362.831053
223872114000,-74.2163527,-363.541563
251188643000,-74.1311945,-364.437836
281838293000,-74.0410598,-365.559627
316227766000,-73.950288,-366.948371
354813389000,-73.8652316,-368.643853
398107171000,-73.794411,-370.679714
446683592000,-73.7484308,-373.07808
501187234000,-73.7395891,-375.843921
562341325000,-73.7811472,-378.959895
630957344000,-73.8862751,-382.382491
707945784000,-74.0667236,-386.040227
794328235000,-74.3312901,-389.834523
891250938000,-74.6841526,-393.643956
1000000000000,-75.1231779,-397.332897
