v-sweep,v(Vout),v(V1),v(V2),I(V3)
0.21,0.9,0.21,0.5,-5.57024286E-07
0.211,0.9,0.211,0.5,-5.56980336E-07
0.212,0.9,0.212,0.5,-5.56935252E-07
0.213,0.9,0.213,0.5,-5.56888999E-07
0.214,0.9,0.214,0.5,-5.56841538E-07
0.215,0.9,0.215,0.5,-5.5679287E-07
0.216,0.9,0.216,0.5,-5.56742958E-07
0.217,0.9,0.217,0.5,-5.56691759E-07
0.218,0.9,0.218,0.5,-5.56639261E-07
0.219,0.9,0.219,0.5,-5.56585434E-07
0.22,0.9,0.22,0.5,-5.56530235E-07
0.221,0.9,0.221,0.5,-5.56473641E-07
0.222,0.9,0.222,0.5,-5.5641561E-07
0.223,0.9,0.223,0.5,-5.56356145E-07
0.224,0.9,0.224,0.5,-5.56295198E-07
0.225,0.9,0.225,0.5,-5.56232717E-07
0.226,0.9,0.226,0.5,-5.56168683E-07
0.227,0.9,0.227,0.5,-5.56103068E-07
0.228,0.9,0.228,0.5,-5.56035818E-07
0.229,0.9,0.229,0.5,-5.55966928E-07
0.23,0.9,0.23,0.5,-5.55896335E-07
0.231,0.9,0.231,0.5,-5.55824002E-07
0.232,0.9,0.232,0.5,-5.55749931E-07
0.233,0.9,0.233,0.5,-5.55674038E-07
0.234,0.9,0.234,0.5,-5.55596333E-07
0.235,0.9,0.235,0.5,-5.55516721E-07
0.236,0.9,0.236,0.5,-5.55435257E-07
0.237,0.9,0.237,0.5,-5.55351786E-07
0.238,0.9,0.238,0.5,-5.55266322E-07
0.239,0.9,0.239,0.5,-5.55178836E-07
0.24,0.9,0.24,0.5,-5.55089279E-07
0.241,0.9,0.241,0.5,-5.54997559E-07
0.242,0.9,0.242,0.5,-5.54903728E-07
0.243,0.9,0.243,0.5,-5.54807652E-07
0.244,0.9,0.244,0.5,-5.54709381E-07
0.245,0.9,0.245,0.5,-5.54608778E-07
0.246,0.9,0.246,0.5,-5.54505849E-07
0.247,0.9,0.247,0.5,-5.54400543E-07
0.248,0.9,0.248,0.5,-5.542928E-07
0.249,0.9,0.249,0.5,-5.54182567E-07
0.25,0.9,0.25,0.5,-5.54069818E-07
0.251,0.9,0.251,0.5,-5.539545E-07
0.252,0.9,0.252,0.5,-5.53836554E-07
0.253,0.9,0.253,0.5,-5.53715953E-07
0.254,0.9,0.254,0.5,-5.53592599E-07
0.255,0.9,0.255,0.5,-5.53466517E-07
0.256,0.9,0.256,0.5,-5.53337568E-07
0.257,0.9,0.257,0.5,-5.53205755E-07
0.258,0.9,0.258,0.5,-5.53070997E-07
0.259,0.9,0.259,0.5,-5.52933258E-07
0.26,0.9,0.26,0.5,-5.52792486E-07
0.261,0.9,0.261,0.5,-5.52648601E-07
0.262,0.9,0.262,0.5,-5.52501579E-07
0.263,0.9,0.263,0.5,-5.52351391E-07
0.264,0.9,0.264,0.5,-5.52197871E-07
0.265,0.9,0.265,0.5,-5.52041058E-07
0.266,0.9,0.266,0.5,-5.51880838E-07
0.267,0.9,0.267,0.5,-5.51717196E-07
0.268,0.9,0.268,0.5,-5.51550066E-07
0.269,0.9,0.269,0.5,-5.51379337E-07
0.27,0.9,0.27,0.5,-5.51205016E-07
0.271,0.9,0.271,0.5,-5.51027004E-07
0.272,0.9,0.272,0.5,-5.50845236E-07
0.273,0.9,0.273,0.5,-5.50659657E-07
0.274,0.9,0.274,0.5,-5.50470187E-07
0.275,0.9,0.275,0.5,-5.5027677E-07
0.276,0.9,0.276,0.5,-5.50079335E-07
0.277,0.9,0.277,0.5,-5.49877868E-07
0.278,0.9,0.278,0.5,-5.49672222E-07
0.279,0.9,0.279,0.5,-5.49462385E-07
0.28,0.9,0.28,0.5,-5.49248266E-07
0.281,0.9,0.281,0.5,-5.49029757E-07
0.282,0.9,0.282,0.5,-5.48806899E-07
0.283,0.9,0.283,0.5,-5.48579472E-07
0.284,0.9,0.284,0.5,-5.48347543E-07
0.285,0.9,0.285,0.5,-5.48110961E-07
0.286,0.9,0.286,0.5,-5.47869664E-07
0.287,0.9,0.287,0.5,-5.47623586E-07
0.288,0.9,0.288,0.5,-5.47372668E-07
0.289,0.9,0.289,0.5,-5.47116798E-07
0.29,0.9,0.29,0.5,-5.46855929E-07
0.291,0.9,0.291,0.5,-5.4658997E-07
0.292,0.9,0.292,0.5,-5.46318855E-07
0.293,0.9,0.293,0.5,-5.460425E-07
0.294,0.9,0.294,0.5,-5.4576083E-07
0.295,0.9,0.295,0.5,-5.45473767E-07
0.296,0.9,0.296,0.5,-5.45181209E-07
0.297,0.9,0.297,0.5,-5.44883083E-07
0.298,0.9,0.298,0.5,-5.44579333E-07
0.299,0.9,0.299,0.5,-5.44269849E-07
0.3,0.9,0.3,0.5,-5.43954567E-07
0.301,0.9,0.301,0.5,-5.43633405E-07
0.302,0.9,0.302,0.5,-5.43306253E-07
0.303,0.9,0.303,0.5,-5.42973034E-07
0.304,0.9,0.304,0.5,-5.42633693E-07
0.305,0.9,0.305,0.5,-5.42288092E-07
0.306,0.9,0.306,0.5,-5.41936171E-07
0.307,0.9,0.307,0.5,-5.41577869E-07
0.308,0.9,0.308,0.5,-5.41213037E-07
0.309,0.9,0.309,0.5,-5.40841636E-07
0.31,0.9,0.31,0.5,-5.40463564E-07
0.311,0.9,0.311,0.5,-5.40078691E-07
0.312,0.9,0.312,0.5,-5.39687001E-07
0.313,0.9,0.313,0.5,-5.39288351E-07
0.314,0.9,0.314,0.5,-5.3888261E-07
0.315,0.9,0.315,0.5,-5.38469777E-07
0.316,0.9,0.316,0.5,-5.38049722E-07
0.317,0.9,0.317,0.5,-5.37622295E-07
0.318,0.9,0.318,0.5,-5.37187468E-07
0.319,0.9,0.319,0.5,-5.36745134E-07
0.32,0.9,0.32,0.5,-5.36295179E-07
0.321,0.9,0.321,0.5,-5.35837525E-07
0.322,0.9,0.322,0.5,-5.35371999E-07
0.323,0.9,0.323,0.5,-5.34898604E-07
0.324,0.9,0.324,0.5,-5.34417207E-07
0.325,0.9,0.325,0.5,-5.3392769E-07
0.326,0.9,0.326,0.5,-5.33429965E-07
0.327,0.9,0.327,0.5,-5.32923917E-07
0.328,0.9,0.328,0.5,-5.32409459E-07
0.329,0.9,0.329,0.5,-5.31886478E-07
0.33,0.9,0.33,0.5,-5.31354893E-07
0.331,0.9,0.331,0.5,-5.30814571E-07
0.332,0.9,0.332,0.5,-5.30265446E-07
0.333,0.9,0.333,0.5,-5.29707346E-07
0.334,0.9,0.334,0.5,-5.29140213E-07
0.335,0.9,0.335,0.5,-5.28563959E-07
0.336,0.9,0.336,0.5,-5.27978436E-07
0.337,0.9,0.337,0.5,-5.2738357E-07
0.338,0.9,0.338,0.5,-5.267792E-07
0.339,0.9,0.339,0.5,-5.26165277E-07
0.34,0.9,0.34,0.5,-5.25541683E-07
0.341,0.9,0.341,0.5,-5.24908277E-07
0.342,0.9,0.342,0.5,-5.24264955E-07
0.343,0.9,0.343,0.5,-5.2361165E-07
0.344,0.9,0.344,0.5,-5.22948227E-07
0.345,0.9,0.345,0.5,-5.22274508E-07
0.346,0.9,0.346,0.5,-5.21590486E-07
0.347,0.9,0.347,0.5,-5.20896009E-07
0.348,0.9,0.348,0.5,-5.2019092E-07
0.349,0.9,0.349,0.5,-5.19475172E-07
0.35,0.9,0.35,0.5,-5.18748593E-07
0.351,0.9,0.351,0.5,-5.18011113E-07
0.352,0.9,0.352,0.5,-5.17262606E-07
0.353,0.9,0.353,0.5,-5.16502947E-07
0.354,0.9,0.354,0.5,-5.15732008E-07
0.355,0.9,0.355,0.5,-5.14949708E-07
0.356,0.9,0.356,0.5,-5.14155918E-07
0.357,0.9,0.357,0.5,-5.133505E-07
0.358,0.9,0.358,0.5,-5.12533365E-07
0.359,0.9,0.359,0.5,-5.11704368E-07
0.36,0.9,0.36,0.5,-5.10863412E-07
0.361,0.9,0.361,0.5,-5.10010377E-07
0.362,0.9,0.362,0.5,-5.0914511E-07
0.363,0.9,0.363,0.5,-5.0826754E-07
0.364,0.9,0.364,0.5,-5.07377536E-07
0.365,0.9,0.365,0.5,-5.06474976E-07
0.366,0.9,0.366,0.5,-5.05559708E-07
0.367,0.9,0.367,0.5,-5.0463165E-07
0.368,0.9,0.368,0.5,-5.03690636E-07
0.369,0.9,0.369,0.5,-5.02736587E-07
0.37,0.9,0.37,0.5,-5.01769414E-07
0.371,0.9,0.371,0.5,-5.00788886E-07
0.372,0.9,0.372,0.5,-4.99794968E-07
0.373,0.9,0.373,0.5,-4.98787514E-07
0.374,0.9,0.374,0.5,-4.97766393E-07
0.375,0.9,0.375,0.5,-4.96731481E-07
0.376,0.9,0.376,0.5,-4.95682677E-07
0.377,0.9,0.377,0.5,-4.94619815E-07
0.378,0.9,0.378,0.5,-4.93542778E-07
0.379,0.9,0.379,0.5,-4.92451473E-07
0.38,0.9,0.38,0.5,-4.91345716E-07
0.381,0.9,0.381,0.5,-4.90225407E-07
0.382,0.9,0.382,0.5,-4.89090382E-07
0.383,0.9,0.383,0.5,-4.87940536E-07
0.384,0.9,0.384,0.5,-4.86775733E-07
0.385,0.9,0.385,0.5,-4.85595823E-07
0.386,0.9,0.386,0.5,-4.8440063E-07
0.387,0.9,0.387,0.5,-4.83189933E-07
0.388,0.9,0.388,0.5,-4.81963664E-07
0.389,0.9,0.389,0.5,-4.807215E-07
0.39,0.9,0.39,0.5,-4.79463292E-07
0.391,0.9,0.391,0.5,-4.78188678E-07
0.392,0.9,0.392,0.5,-4.76897391E-07
0.393,0.9,0.393,0.5,-4.75589051E-07
0.394,0.9,0.394,0.5,-4.74263128E-07
0.395,0.9,0.395,0.5,-4.72919062E-07
0.396,0.9,0.396,0.5,-4.71556074E-07
0.397,0.9,0.397,0.5,-4.70173234E-07
0.398,0.9,0.398,0.5,-4.6876918E-07
0.399,0.9,0.399,0.5,-4.67342428E-07
0.4,0.9,0.4,0.5,-4.65890924E-07
0.401,0.9,0.401,0.5,-4.64412103E-07
0.402,0.9,0.402,0.5,-4.62902687E-07
0.403,0.9,0.403,0.5,-4.61358781E-07
0.404,0.9,0.404,0.5,-4.59775467E-07
0.405,0.9,0.405,0.5,-4.58147017E-07
0.406,0.9,0.406,0.5,-4.56466687E-07
0.407,0.9,0.407,0.5,-4.54726916E-07
0.408,0.9,0.408,0.5,-4.5291949E-07
0.409,0.9,0.409,0.5,-4.51035699E-07
0.41,0.9,0.41,0.5,-4.49066963E-07
0.411,0.9,0.411,0.5,-4.47004997E-07
0.412,0.9,0.412,0.5,-4.44842414E-07
0.413,0.9,0.413,0.5,-4.42573047E-07
0.414,0.9,0.414,0.5,-4.40192103E-07
0.415,0.9,0.415,0.5,-4.37696407E-07
0.416,0.9,0.416,0.5,-4.35084395E-07
0.417,0.9,0.417,0.5,-4.32355709E-07
0.418,0.9,0.418,0.5,-4.29511342E-07
0.419,0.9,0.419,0.5,-4.26553143E-07
0.42,0.9,0.42,0.5,-4.23483808E-07
0.421,0.9,0.421,0.5,-4.20306296E-07
0.422,0.9,0.422,0.5,-4.17024214E-07
0.423,0.9,0.423,0.5,-4.13640915E-07
0.424,0.9,0.424,0.5,-4.10160055E-07
0.425,0.9,0.425,0.5,-4.06585311E-07
0.426,0.9,0.426,0.5,-4.02919994E-07
0.427,0.9,0.427,0.5,-3.99167487E-07
0.428,0.9,0.428,0.5,-3.95331007E-07
0.429,0.9,0.429,0.5,-3.91413472E-07
0.43,0.9,0.43,0.5,-3.87417678E-07
0.431,0.9,0.431,0.5,-3.83346308E-07
0.432,0.9,0.432,0.5,-3.79201843E-07
0.433,0.9,0.433,0.5,-3.7498663E-07
0.434,0.9,0.434,0.5,-3.70702878E-07
0.435,0.9,0.435,0.5,-3.66352541E-07
0.436,0.9,0.436,0.5,-3.61937669E-07
0.437,0.9,0.437,0.5,-3.57460088E-07
0.438,0.9,0.438,0.5,-3.52921379E-07
0.439,0.9,0.439,0.5,-3.48323269E-07
0.44,0.9,0.44,0.5,-3.43667342E-07
0.441,0.9,0.441,0.5,-3.38955019E-07
0.442,0.9,0.442,0.5,-3.34187646E-07
0.443,0.9,0.443,0.5,-3.29366713E-07
0.444,0.9,0.444,0.5,-3.24493445E-07
0.445,0.9,0.445,0.5,-3.1956904E-07
0.446,0.9,0.446,0.5,-3.14594672E-07
0.447,0.9,0.447,0.5,-3.09571675E-07
0.448,0.9,0.448,0.5,-3.04501022E-07
0.449,0.9,0.449,0.5,-2.99383839E-07
0.45,0.9,0.45,0.5,-2.94221223E-07
0.451,0.9,0.451,0.5,-2.89014224E-07
0.452,0.9,0.452,0.5,-2.83763846E-07
0.453,0.9,0.453,0.5,-2.78471084E-07
0.454,0.9,0.454,0.5,-2.73136948E-07
0.455,0.9,0.455,0.5,-2.67762427E-07
0.456,0.9,0.456,0.5,-2.62348465E-07
0.457,0.9,0.457,0.5,-2.56895987E-07
0.458,0.9,0.458,0.5,-2.51405954E-07
0.459,0.9,0.459,0.5,-2.45879356E-07
0.46,0.9,0.46,0.5,-2.40316993E-07
0.461,0.9,0.461,0.5,-2.34719895E-07
0.462,0.9,0.462,0.5,-2.29088919E-07
0.463,0.9,0.463,0.5,-2.23425012E-07
0.464,0.9,0.464,0.5,-2.17729045E-07
0.465,0.9,0.465,0.5,-2.1200189E-07
0.466,0.9,0.466,0.5,-2.06244529E-07
0.467,0.9,0.467,0.5,-2.00457777E-07
0.468,0.9,0.468,0.5,-1.9464261E-07
0.469,0.9,0.469,0.5,-1.8879981E-07
