time,v(Vout),v(V1)
3.545E-08,0.501845199,0.51
3.555E-08,0.501847545,0.51
3.565E-08,0.501849899,0.51
3.575E-08,0.501852259,0.51
3.585E-08,0.501854626,0.51
3.595E-08,0.501857,0.51
3.605E-08,0.501859381,0.51
3.615E-08,0.501861769,0.51
3.625E-08,0.501864163,0.51
3.635E-08,0.501866564,0.51
3.645E-08,0.501868971,0.51
3.655E-08,0.501871385,0.51
3.665E-08,0.501873805,0.51
3.675E-08,0.501876231,0.51
3.685E-08,0.501878664,0.51
3.695E-08,0.501881103,0.51
3.705E-08,0.501883548,0.51
3.715E-08,0.501885999,0.51
3.725E-08,0.501888457,0.51
3.735E-08,0.50189092,0.51
3.745E-08,0.501893389,0.51
3.755E-08,0.501895864,0.51
3.765E-08,0.501898345,0.51
3.775E-08,0.501900832,0.51
3.785E-08,0.501903324,0.51
3.795E-08,0.501905822,0.51
3.805E-08,0.501908326,0.51
3.815E-08,0.501910835,0.51
3.825E-08,0.50191335,0.51
3.835E-08,0.50191587,0.51
3.845E-08,0.501918395,0.51
3.855E-08,0.501920926,0.51
3.865E-08,0.501923462,0.51
3.875E-08,0.501926003,0.51
3.885E-08,0.50192855,0.51
3.895E-08,0.501931101,0.51
3.905E-08,0.501933658,0.51
3.915E-08,0.501936219,0.51
3.925E-08,0.501938785,0.51
3.935E-08,0.501941356,0.51
3.945E-08,0.501943932,0.51
3.955E-08,0.501946513,0.51
3.965E-08,0.501949098,0.51
3.975E-08,0.501951688,0.51
3.985E-08,0.501954283,0.51
3.995E-08,0.501956882,0.51
4.005E-08,0.501959485,0.51
4.015E-08,0.501962093,0.51
4.025E-08,0.501964706,0.51
4.035E-08,0.501967322,0.51
4.045E-08,0.501969943,0.51
4.055E-08,0.501972568,0.51
4.065E-08,0.501975198,0.51
4.075E-08,0.501977831,0.51
4.085E-08,0.501980468,0.51
4.095E-08,0.50198311,0.51
4.105E-08,0.501985755,0.51
4.115E-08,0.501988404,0.51
4.125E-08,0.501991057,0.51
4.135E-08,0.501993714,0.51
4.145E-08,0.501996375,0.51
4.155E-08,0.501999039,0.51
4.165E-08,0.502001707,0.51
4.175E-08,0.502004378,0.51
4.185E-08,0.502007053,0.51
4.195E-08,0.502009732,0.51
4.205E-08,0.502012414,0.51
4.215E-08,0.502015099,0.51
4.225E-08,0.502017788,0.51
4.235E-08,0.50202048,0.51
4.245E-08,0.502023175,0.51
4.255E-08,0.502025873,0.51
4.265E-08,0.502028575,0.51
4.275E-08,0.502031279,0.51
4.285E-08,0.502033987,0.51
4.295E-08,0.502036698,0.51
4.305E-08,0.502039412,0.51
4.315E-08,0.502042128,0.51
4.325E-08,0.502044848,0.51
4.335E-08,0.50204757,0.51
4.345E-08,0.502050295,0.51
4.355E-08,0.502053023,0.51
4.365E-08,0.502055754,0.51
4.375E-08,0.502058487,0.51
4.385E-08,0.502061223,0.51
4.395E-08,0.502063961,0.51
4.405E-08,0.502066702,0.51
4.415E-08,0.502069445,0.51
4.425E-08,0.502072191,0.51
4.435E-08,0.502074939,0.51
4.445E-08,0.50207769,0.51
4.455E-08,0.502080443,0.51
4.465E-08,0.502083198,0.51
4.475E-08,0.502085955,0.51
4.485E-08,0.502088715,0.51
4.495E-08,0.502091477,0.51
4.505E-08,0.502094241,0.51
4.515E-08,0.502097007,0.51
4.525E-08,0.502099775,0.51
4.535E-08,0.502102545,0.51
4.545E-08,0.502105317,0.51
4.555E-08,0.502108091,0.51
4.565E-08,0.502110866,0.51
4.575E-08,0.502113644,0.51
4.585E-08,0.502116423,0.51
4.595E-08,0.502119205,0.51
4.605E-08,0.502121988,0.51
4.615E-08,0.502124772,0.51
4.625E-08,0.502127559,0.51
4.635E-08,0.502130347,0.51
4.645E-08,0.502133136,0.51
4.655E-08,0.502135928,0.51
4.665E-08,0.50213872,0.51
