 v-sweep         v(Y)            v(S)            v(A)            v(B)           
 1.25000000e+00  1.24999999e+00  0.00000000e+00  1.80000000e+00  1.25000000e+00 
 1.26000000e+00  1.25999999e+00  0.00000000e+00  1.80000000e+00  1.26000000e+00 
 1.27000000e+00  1.26999999e+00  0.00000000e+00  1.80000000e+00  1.27000000e+00 
 1.28000000e+00  1.27999999e+00  0.00000000e+00  1.80000000e+00  1.28000000e+00 
 1.29000000e+00  1.28999999e+00  0.00000000e+00  1.80000000e+00  1.29000000e+00 
 1.30000000e+00  1.29999999e+00  0.00000000e+00  1.80000000e+00  1.30000000e+00 
 1.31000000e+00  1.30999999e+00  0.00000000e+00  1.80000000e+00  1.31000000e+00 
 1.32000000e+00  1.31999999e+00  0.00000000e+00  1.80000000e+00  1.32000000e+00 
 1.33000000e+00  1.32999999e+00  0.00000000e+00  1.80000000e+00  1.33000000e+00 
 1.34000000e+00  1.33999999e+00  0.00000000e+00  1.80000000e+00  1.34000000e+00 
 1.35000000e+00  1.34999999e+00  0.00000000e+00  1.80000000e+00  1.35000000e+00 
 1.36000000e+00  1.35999999e+00  0.00000000e+00  1.80000000e+00  1.36000000e+00 
 1.37000000e+00  1.36999999e+00  0.00000000e+00  1.80000000e+00  1.37000000e+00 
 1.38000000e+00  1.37999999e+00  0.00000000e+00  1.80000000e+00  1.38000000e+00 
 1.39000000e+00  1.38999999e+00  0.00000000e+00  1.80000000e+00  1.39000000e+00 
 1.40000000e+00  1.39999999e+00  0.00000000e+00  1.80000000e+00  1.40000000e+00 
 1.41000000e+00  1.40999999e+00  0.00000000e+00  1.80000000e+00  1.41000000e+00 
 1.42000000e+00  1.41999999e+00  0.00000000e+00  1.80000000e+00  1.42000000e+00 
 1.43000000e+00  1.42999999e+00  0.00000000e+00  1.80000000e+00  1.43000000e+00 
 1.44000000e+00  1.43999999e+00  0.00000000e+00  1.80000000e+00  1.44000000e+00 
 1.45000000e+00  1.44999999e+00  0.00000000e+00  1.80000000e+00  1.45000000e+00 
 1.46000000e+00  1.45999999e+00  0.00000000e+00  1.80000000e+00  1.46000000e+00 
 1.47000000e+00  1.46999999e+00  0.00000000e+00  1.80000000e+00  1.47000000e+00 
 1.48000000e+00  1.47999999e+00  0.00000000e+00  1.80000000e+00  1.48000000e+00 
 1.49000000e+00  1.48999999e+00  0.00000000e+00  1.80000000e+00  1.49000000e+00 
 1.50000000e+00  1.49999999e+00  0.00000000e+00  1.80000000e+00  1.50000000e+00 
 1.51000000e+00  1.50999999e+00  0.00000000e+00  1.80000000e+00  1.51000000e+00 
 1.52000000e+00  1.51999999e+00  0.00000000e+00  1.80000000e+00  1.52000000e+00 
 1.53000000e+00  1.52999999e+00  0.00000000e+00  1.80000000e+00  1.53000000e+00 
 1.54000000e+00  1.53999999e+00  0.00000000e+00  1.80000000e+00  1.54000000e+00 
 1.55000000e+00  1.54999999e+00  0.00000000e+00  1.80000000e+00  1.55000000e+00 
 1.56000000e+00  1.55999999e+00  0.00000000e+00  1.80000000e+00  1.56000000e+00 
 1.57000000e+00  1.56999999e+00  0.00000000e+00  1.80000000e+00  1.57000000e+00 
 1.58000000e+00  1.57999999e+00  0.00000000e+00  1.80000000e+00  1.58000000e+00 
 1.59000000e+00  1.58999999e+00  0.00000000e+00  1.80000000e+00  1.59000000e+00 
 1.60000000e+00  1.59999999e+00  0.00000000e+00  1.80000000e+00  1.60000000e+00 
 1.61000000e+00  1.60999999e+00  0.00000000e+00  1.80000000e+00  1.61000000e+00 
 1.62000000e+00  1.61999999e+00  0.00000000e+00  1.80000000e+00  1.62000000e+00 
 1.63000000e+00  1.62999999e+00  0.00000000e+00  1.80000000e+00  1.63000000e+00 
 1.64000000e+00  1.63999999e+00  0.00000000e+00  1.80000000e+00  1.64000000e+00 
 1.65000000e+00  1.64999999e+00  0.00000000e+00  1.80000000e+00  1.65000000e+00 
 1.66000000e+00  1.65999999e+00  0.00000000e+00  1.80000000e+00  1.66000000e+00 
 1.67000000e+00  1.66999999e+00  0.00000000e+00  1.80000000e+00  1.67000000e+00 
 1.68000000e+00  1.67999999e+00  0.00000000e+00  1.80000000e+00  1.68000000e+00 
 1.69000000e+00  1.68999999e+00  0.00000000e+00  1.80000000e+00  1.69000000e+00 
 1.70000000e+00  1.69999999e+00  0.00000000e+00  1.80000000e+00  1.70000000e+00 
 1.71000000e+00  1.70999999e+00  0.00000000e+00  1.80000000e+00  1.71000000e+00 
 1.72000000e+00  1.71999998e+00  0.00000000e+00  1.80000000e+00  1.72000000e+00 
 1.73000000e+00  1.72999998e+00  0.00000000e+00  1.80000000e+00  1.73000000e+00 
 1.74000000e+00  1.73999998e+00  0.00000000e+00  1.80000000e+00  1.74000000e+00 
 1.75000000e+00  1.74999997e+00  0.00000000e+00  1.80000000e+00  1.75000000e+00 
 1.76000000e+00  1.75999996e+00  0.00000000e+00  1.80000000e+00  1.76000000e+00 
 1.77000000e+00  1.76999995e+00  0.00000000e+00  1.80000000e+00  1.77000000e+00 
 1.78000000e+00  1.77999994e+00  0.00000000e+00  1.80000000e+00  1.78000000e+00 
 1.79000000e+00  1.78999992e+00  0.00000000e+00  1.80000000e+00  1.79000000e+00 
 1.80000000e+00  1.79999989e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00 
