 v-sweep         v(Y)            v(S)            v(A)            v(B)           
 9.50000000e-01  3.46982243e-09  0.00000000e+00  9.50000000e-01  0.00000000e+00 
 9.60000000e-01  3.47086970e-09  0.00000000e+00  9.60000000e-01  0.00000000e+00 
 9.70000000e-01  3.47192385e-09  0.00000000e+00  9.70000000e-01  0.00000000e+00 
 9.80000000e-01  3.47298497e-09  0.00000000e+00  9.80000000e-01  0.00000000e+00 
 9.90000000e-01  3.47405301e-09  0.00000000e+00  9.90000000e-01  0.00000000e+00 
 1.00000000e+00  3.47512808e-09  0.00000000e+00  1.00000000e+00  0.00000000e+00 
 1.01000000e+00  3.47621015e-09  0.00000000e+00  1.01000000e+00  0.00000000e+00 
 1.02000000e+00  3.47729929e-09  0.00000000e+00  1.02000000e+00  0.00000000e+00 
 1.03000000e+00  3.47839547e-09  0.00000000e+00  1.03000000e+00  0.00000000e+00 
 1.04000000e+00  3.47949879e-09  0.00000000e+00  1.04000000e+00  0.00000000e+00 
 1.05000000e+00  3.48060935e-09  0.00000000e+00  1.05000000e+00  0.00000000e+00 
 1.06000000e+00  3.48172703e-09  0.00000000e+00  1.06000000e+00  0.00000000e+00 
 1.07000000e+00  3.48285196e-09  0.00000000e+00  1.07000000e+00  0.00000000e+00 
 1.08000000e+00  3.48398411e-09  0.00000000e+00  1.08000000e+00  0.00000000e+00 
 1.09000000e+00  3.48512365e-09  0.00000000e+00  1.09000000e+00  0.00000000e+00 
 1.10000000e+00  3.48627044e-09  0.00000000e+00  1.10000000e+00  0.00000000e+00 
 1.11000000e+00  3.48742461e-09  0.00000000e+00  1.11000000e+00  0.00000000e+00 
 1.12000000e+00  3.48858626e-09  0.00000000e+00  1.12000000e+00  0.00000000e+00 
 1.13000000e+00  3.48975525e-09  0.00000000e+00  1.13000000e+00  0.00000000e+00 
 1.14000000e+00  3.49093175e-09  0.00000000e+00  1.14000000e+00  0.00000000e+00 
 1.15000000e+00  3.49211571e-09  0.00000000e+00  1.15000000e+00  0.00000000e+00 
 1.16000000e+00  3.49330728e-09  0.00000000e+00  1.16000000e+00  0.00000000e+00 
